Revelations,Source documents & publications,Intelligence agencies,Countries,Target(s),Codename of surveillance programme,Type of surveillance
Drug dealers were on NATO's Afghan kill list,https://freesnowden.is/revelations#drug-dealers-were-on-natos-afghanistan-kill-list ,,,,,
Journalists' emails posted on GCHQ intranet,https://freesnowden.is/revelations#journalists-emails-posted-on-gchq-intranet ,,,,,
NSA and GCHQ targeted SIM card manufacturer and seized encryption keys,https://freesnowden.is/revelations#nsa-gchq-targeted-sim-card-manufacturer ,,,,,
New Zealand targeted Solomon islands public officials and anti-corruption campaigners,https://freesnowden.is/revelations#new-zealand-targeted-solomon-islands-public-officials-anti-corruption-campaginers ,,,,,
New Zealand spied on candidates for top WTO job,https://freesnowden.is/revelations#new-zealand-spied-candidates-top-wto-job ,,,,,
NSA monitored Al Jazeera bureau chief as a “member of Al Qaeda”,https://freesnowden.is/revelations#nsa-monitored-al-jazeera ,,,,,
Spy agencies planned to implant spyware on phones using app stores,https://freesnowden.is/revelations#spy-agencies-planned-implant-spyware-phones-app-stores,,,,,
"50,000 networks infected with NSA malware",https://freesnowden.is/revelations#50000-networks-infected-with-nsa-malware ,NSA,Global,,,
NSA plans to automate deployment of “millions” of malware implants,https://freesnowden.is/revelations#nsa-plans-to-automate-deployment-of-millions-of-malware-implants ,NSA,Global,,,
Presidential Directive orders cyber-offensive targeting overseas,https://freesnowden.is/revelations#presidential-directive-orders-cyber-offensive-targeting-overseas ,NSA,Global,,,
"NSA targets universities, mobile phones and fibre-optic network in China",https://freesnowden.is/revelations#nsa-targets-universities-mobile-phones-in-China ,NSA,China,,,
How NSA decides what counts as US data,https://freesnowden.is/revelations#faa-targeting-and-minimization ,NSA,US,,,
The Netherlands an NSA target since 1946,https://freesnowden.is/revelations#the-netherlands-an-nsa-target-since-1946 ,NSA,The Netherlands,,,
New Zealand spying on its neighbourhood for the Five Eyes,https://freesnowden.is/revelations#new-zeland-spying-neighbourhood-five-eyes ,,,,,
"Sweden's FRA engages in offensive operations, has access to XKeyScore",https://freesnowden.is/revelations#swedens-fra-engages-in-offensive-operations-has-access-to-xkeyscore ,"FRA, NSA",Sweden,,,
NSA trying to build quantum computer,https://freesnowden.is/revelations#nsa-trying-to-build-quantum-computer ,NSA,Global,,,
NSA has two data centres in China,https://freesnowden.is/revelations#nsa-has-two-data-centres-in-china ,NSA,China,,,
How GCHQ uses “dirty tricks” against its targets,https://freesnowden.is/revelations#how-gchq-uses-dirty-tricks ,GCHQ,Global,,,
GCHQ engages in misinformation campaigns and subverts online discourse,https://freesnowden.is/revelations#gchq-engages-in-misinformation-campaigns-and-subverts-online-discourse ,GCHQ,Global,,,
GCHQ presents its plans for using social media,https://freesnowden.is/revelations#gchq-presents-its-plans-for-using-social-media ,GCHQ,Global,,,
More targets of Upstream collection revealed,https://freesnowden.is/revelations#more-targets-of-nsa-upstream-collection-revealed ,NSA,Italy,International Centre for Theoretical Physics,Upstream,Interception of communications
GCHQ manipulates online polls and page views,https://freesnowden.is/revelations#gchq-manipulates-online-polls-and-page-views ,GCHQ,Global,,,
Five Eyes port scanning entire countries,https://freesnowden.is/revelations#five-eyes-port-scanning-entire-countries ,"NSA, GCHQ, CSEC",Global,,"HACIENDA, Olympia",Port scanning of entire countries for vulnerable computer systems and subsequent data collection. 
Clandestine field operations among the NSA's “Core Secrets”,https://freesnowden.is/revelations#clandestine-field-operations-among-the-nsas-core-secrets ,NSA,"South Korea, Germany, China",Firms,Sentry Osprey (“human intelligence” operations),"Human Intelligence operations which include “off net-enabling”, “supply chain-enabling” and “hardware implant-enabling”. “Physical subversion” to infiltrate and compromise networks and devices.  "
NSA penetrated North Korean networks in 2010,https://freesnowden.is/revelations#nsa-penetrated-north-korean-networks-in-2010 ,NSA,North Korea,Computers and networks in North Korea,,Penetration of North Korean networks. Malware implants used to track the internal workings of many of the computers and networks used by North Korean hackers.
How Five Eyes Agencies rely on Hackers,https://freesnowden.is/revelations#how-five-eyes-agencies-rely-hackers ,,,,,
How the NSA uses speech-to-text technology,https://freesnowden.is/revelations#how-nsa-uses-speech-to-text ,,,,,
Spy agencies planned to implant spyware on phones using app stores,https://freesnowden.is/revelations#spy-agencies-planned-implant-spyware-phones-app-stores,,,,,
