Revelations,Source documents & publications,Intelligence agencies,Countries,Type of collaboration,Target of collaboration
Dutch interception of Somali phone data likely supports US drone strikes,https://edwardsnowden.com/revelations#dutch-interception-of-somali-phone-data-likely-supports-us-drone-strikes ,"AIVD, MIVD, NSA","SOM,NLD,USA,FRA",Dutch interception of Somali phone data likely supports US drone strikes,Suspected terrorists and civilians in Somalia
NSA's partnership arrangements obscure to elected politicians,https://edwardsnowden.com/revelations#nsas-partnership-arrangement-obscure-to-elected-politicians ,NSA,GLB,"The NSA has “Third Party Relationships” with multiple intelligence agencies from countries outside of the anglophone Five Eyes alliance, which are maintained regardless of elected politicians in those countries.",Public
Norway acquires a supercomputer for cryptanalysis,https://edwardsnowden.com/revelations#norway-acquires-a-supercomputer-for-cryptanalysis ,"NIS, NSA",NOR,Norway's intelligence service collaborates with the NSA in the field of cryptanalysis,Public
GCHQ sought “unsupervised access” to PRISM data,https://edwardsnowden.com/revelations#gchq-sought-unsupervised-access-to-prism-data ,"GCHQ, NSA",GLB,The NSA provided the GCHQ access to data collected through PRISM and other tools,Public
“Collect it all” is an explicit Five Eyes goal,https://edwardsnowden.com/revelations#collect-it-all-is-an-explicit-five-eyes-goal ,"NSA, GCHQ, ASD, CSEC, GCSB (Five Eyes)",GLB,The Five Eyes collaborate on collecting and analysing data.,Public
GCHQ and NSA aim for global coverage of in-flight phone data,https://edwardsnowden.com/revelations#gchq-and-nsa-aim-for-global-coverage-of-inflight-phone-data ,"NSA, GCHQ, ASD, CSEC, GCSB (Five Eyes)",GLB,The NSA planned to collect global in-flight communications data and to share it with Five Eyes partners,Flight passengers
GCHQ's Oman base and the corporate partners behind Tempora,https://edwardsnowden.com/revelations#gchqs-oman-bases-and-the-corporate-partners-behind-tempora ,GCHQ,"OMN,GBR,USA",The GCHQ has a number of bases in Oman which tap directly into 9 undersea cables. Such data was subsequently shared with the NSA.,Public
Data used to kill terrorist suspects is intercepted in Germany,https://edwardsnowden.com/revelations#data-used-to-kill-terrorist-suspects-intercepted-in-germany ,"NSA, BND","DEU,USA",Germany provided intelligence to the NSA which was used to “arrest or kill more than 40 terrorists”,Suspect terrorists
BND works together with NSA on Special Source Operations,https://edwardsnowden.com/revelations#bnd-works-together-with-nsa-on-special-source-operations ,"NSA, BND","DEU,USA",The NSA and BND collaborate on the Special Source Operations. The NSA has provided the BND access to XkeyScore and the two agencies jointly had staffed projects at Germany's Bad Aibling base.,Public
Third party countries allow NSA access to internet backbone,https://edwardsnowden.com/revelations#third-party-countries-allow-nsa-access-to-internet-backbone ,"NSA, Intelligence agencies from “third party countries”","USA,GBR,AUS,NZL,CAN,DZA,AUT,BEL,HRV,CZE,DNK,ETH,FIN,FRA,DEU,GRC,HUN,IND,ISR,ITA,JPN,JOR,ROK,MKD,NLD,NOR,PAK,POL,ROU,SAU,SGP,ESP,SWE,TWN,THA,TUN,TUR,ARE",The NSA's “unconventional special access program” relies on third party countries (rather that on the Five Eyes) which provide it direct access to fibre optic cables.,Public
NSA advising Saudi Arabia on “internal security”,https://edwardsnowden.com/revelations#nsa-advising-saudi-arabia-on-internal-security ,"NSA, Saudi Ministry of Interior (MOI)","SAU,USA",The NSA “had an interest in Saudi Arabia's regime continuity” and provided Saudi Arabia's Ministry of Interior technical assistance and training. ,Public
NSA supports Israeli surveillance of Palestinians,https://edwardsnowden.com/revelations#nsa-supports-surveillance-of-palestinians ,"NSA, ISNU","ISR,PSE,JOR,USA",The NSA supported Israel's ISNU with intelligence on Palestinians. Much of the NSA's intelligence was gathered from Jordan's Electronic Warfare Directorate and from the Palestinian Authority Security Forces. ,Palestinians
Five Eyes port scanning entire countries,https://edwardsnowden.com/revelations#five-eyes-port-scanning-entire-countries ,Five Eyes,GLB,The Five Eyes share information between them which they collect by scanning entire countries for vulnerable computer systems. ,Administrative and public facing services around the world.
NSA aids Turkey in lethal operations against Kurdish separatists,https://edwardsnowden.com/revelations#nsa-aids-turkey-in-lethal-operations-against-kurdish-separatists ,"NSA, MIT","TUR,USA",The NSA provided intelligence to Turkey in its operations against Kurdish separatists. ,"Kurdish separatists, PKK leaders inside and outside Turkey."
NSA and GCHQ targeted SIM card manufacturer and seized encryption keys,https://edwardsnowden.com/revelations#nsa-gchq-targeted-sim-card-manufacturer ,"NSA, GCHQ",GLB,"The NSA-GCHQ joint unit called the Mobile Handset Exploitation Team broke into the internal network of Gemalto, the world's largest SIM card manufacturer",Employees of major telecoms networks 
New Zealand spying on its neighbourhood for the Five Eyes,https://edwardsnowden.com/revelations#new-zeland-spying-neighbourhood-five-eyes ,"GCSB, Five Eyes","NZL,AUS,USA,GBR,CAN","New Zealand's GCSB shared Asia-Pacific communications it collected with its Five Eyes partners, by making them available through Xkeyscore.",New Zealand's Pacific neighboring countries
Inside Ironsand: New Zealand's Five Eyes spy base,https://edwardsnowden.com/revelations#inside-ironsand ,"GCSB, Five Eyes","NZL,AUS,USA,GBR,CAN",New Zealand's satellite interception station (codenamed IRONSAND) is linked into the Five Eyes network. ,Public
New Zealand spies on – and with – Bangladesh,https://edwardsnowden.com/revelations#new-zealand-spies-on-with-bangladesh ,"GCSB, Bangladeshi authorities, NSA","NZL,BGD,USA",New Zeland's GCSB shared intelligence data with Bangladeshi authorities who have been implicated in torture and politically motivated killings. The GCSB has also spied on Bangladesh to aid the NSA.,
New Zealand's spies plotted China hack with the NSA,https://edwardsnowden.com/revelations#new-zealand-plotted-china-hack-with-nsa ,"GCSB, NSA","NZL,CHN,USA","The GCSB planned to tap a Chinese diplomatic data connection in New Zealand to gain access to China's computer systems, which would have aided the NSA's intelligence gathering if it was infact carried out. ",Chinese diplomatic data connection in New Zealand
Spy agencies planned to implant spyware on phones using app stores,https://edwardsnowden.com/revelations#spy-agencies-planned-implant-spyware-phones-app-stores,Five Eyes,GLB,A joint Five Eyes unit planned to infect smartphones with spyware by exploiting mobile phone browsers and data links to Google and Samsung app stores,Public
Sweden's FRA spies on Russian leadership for the NSA,https://edwardsnowden.com/revelations#swedens-fra-spies-on-russian-leadership-for-the-nsa ,"FRA, NSA","SWE,RUS,USA",Sweden's FRA was one of the NSA's “primary partners” in obtaining information on Russian targets.,Russian leadership and counterintelligence
Germany traded data for Xkeyscore access ,https://edwardsnowden.com/revelations#germany-traded-data-for-xkeyscore-access ,"NSA, BND","DEU,USA",German agencies’ access to the XKeyScore system was based on an explicit assurance that they would “To the maximum extent possible share all data relevant to NSA’s mission.”,
